customer_id,customer_name,age,age_group,gender,location,subscription_status,payment_method,frequency_of_purchases
1056,Michael Lewis,37,Adult,Female,Georgia,No,Credit Card,Bi-Weekly
1057,Timothy Duncan,45,Middle-aged,Female,Florida,Yes,Cash,Quarterly
1058,Richard Aguirre,64,Senior,Female,Michigan,No,Bank Transfer,Monthly
1059,Brent Jordan,24,Young Adult,Male,Florida,Yes,Cash,Annually
1060,John Daniel,61,Senior,Female,Ohio,No,Debit Card,Annually
1061,Victoria Garcia,25,Young Adult,Female,Florida,No,PayPal,Annually
1062,Gerald Hensley,64,Senior,Male,North Carolina,No,Debit Card,Quarterly
1063,Connor West,52,Middle-aged,Male,Pennsylvania,No,Debit Card,Monthly
1064,Donald Wright,31,Adult,Female,Illinois,No,PayPal,Quarterly
1065,Jessica Callahan,34,Adult,Male,Ohio,No,PayPal,Weekly
1066,Amber Kidd,53,Middle-aged,Male,Georgia,No,Cash,Weekly
1067,Tracy House,67,Senior,Male,North Carolina,Yes,Debit Card,Bi-Weekly
1068,Carol Tucker,57,Senior,Female,Pennsylvania,Yes,Credit Card,Weekly
1069,James Brown,21,Young Adult,Female,Illinois,Yes,Venmo,Monthly
1070,William Baker,19,Young Adult,Female,Illinois,Yes,Venmo,Monthly
1071,Jordan Henderson,23,Young Adult,Female,Pennsylvania,Yes,Venmo,Monthly
1072,Whitney Peters,59,Senior,Female,North Carolina,No,Debit Card,Annually
1073,Brittney Phillips,21,Young Adult,Female,Georgia,No,Bank Transfer,Annually
1074,Lauren Daniels,46,Middle-aged,Male,Georgia,Yes,PayPal,Monthly
1075,Amy Silva,35,Adult,Male,California,No,Cash,Weekly
1076,Sarah Moore,43,Middle-aged,Male,Georgia,Yes,Cash,Weekly
1077,Angela Lopez,61,Senior,Female,Pennsylvania,No,Venmo,Bi-Weekly
1078,Megan Young,51,Middle-aged,Female,Florida,No,Cash,Quarterly
1079,Steve Sanchez,27,Adult,Male,Pennsylvania,Yes,Credit Card,Bi-Weekly
1080,Lisa Barnes,53,Middle-aged,Female,Pennsylvania,Yes,Credit Card,Quarterly
1081,Kelly Donovan,31,Adult,Female,Ohio,Yes,PayPal,Weekly
1082,Mike Allen,48,Middle-aged,Female,New York,Yes,Cash,Monthly
1083,Michael Evans,65,Senior,Female,Michigan,No,Debit Card,Annually
1084,Paul Jones,32,Adult,Female,Florida,No,Cash,Bi-Weekly
1085,Zachary Ferrell,25,Young Adult,Male,Texas,Yes,Debit Card,Bi-Weekly
1086,Daniel Baker,31,Adult,Female,New York,Yes,Bank Transfer,Weekly
1087,Shirley Suarez,40,Adult,Female,Illinois,No,Venmo,Quarterly
1088,Christopher Bass,57,Senior,Female,North Carolina,No,Debit Card,Bi-Weekly
1089,Lisa Archer,38,Adult,Female,Michigan,Yes,Bank Transfer,Quarterly
1090,Aimee Montoya,33,Adult,Female,Michigan,Yes,Venmo,Bi-Weekly
1091,Matthew Mcmillan,62,Senior,Male,Ohio,Yes,Credit Card,Monthly
1092,Brian Rodriguez,35,Adult,Female,Illinois,No,Cash,Weekly
1093,Denise Jacobs,64,Senior,Male,Texas,No,Bank Transfer,Quarterly
1094,Christina Walters,41,Middle-aged,Male,Florida,Yes,PayPal,Weekly
1095,John Whitehead,43,Middle-aged,Male,Pennsylvania,Yes,Cash,Annually
1096,Anna Henderson,42,Middle-aged,Male,Florida,Yes,Venmo,Weekly
1097,Aaron Wise,62,Senior,Female,Ohio,No,Cash,Quarterly
1098,Deborah Figueroa,58,Senior,Male,Michigan,No,PayPal,Quarterly
1099,Jessica Smith,46,Middle-aged,Female,Florida,No,Venmo,Annually
1100,Stephen Mckee,32,Adult,Male,Georgia,No,Venmo,Annually
1101,Sandra Aguilar,62,Senior,Male,North Carolina,Yes,PayPal,Bi-Weekly
1102,Cameron Parker,18,Young Adult,Female,Pennsylvania,No,Cash,Quarterly
1103,Rebecca Valencia,42,Middle-aged,Male,Illinois,No,PayPal,Weekly
1104,Christine Wright,24,Young Adult,Female,Georgia,No,Debit Card,Annually
1105,Richard Henson,26,Adult,Female,Georgia,Yes,Credit Card,Weekly
1106,Marc Moore,41,Middle-aged,Female,Georgia,No,PayPal,Annually
1107,Sharon Cherry,18,Young Adult,Male,Texas,Yes,Venmo,Quarterly
1108,Sierra Johnson,61,Senior,Female,Pennsylvania,No,Debit Card,Annually
1109,Evelyn Galvan,25,Young Adult,Female,Texas,Yes,Credit Card,Quarterly
1110,Sharon Cochran,41,Middle-aged,Female,Texas,No,PayPal,Annually
1111,Richard Rodriguez,28,Adult,Male,North Carolina,No,Credit Card,Bi-Weekly
1112,Shannon Walker,68,Senior,Male,Georgia,Yes,Cash,Annually
1113,Julia Torres,34,Adult,Male,Texas,Yes,Venmo,Bi-Weekly
1114,Crystal Johnson,25,Young Adult,Female,North Carolina,Yes,PayPal,Bi-Weekly
1115,Garrett Lin,52,Middle-aged,Male,New York,No,Venmo,Weekly
1116,Diana May,52,Middle-aged,Male,North Carolina,No,Debit Card,Quarterly
1117,William Herrera,50,Middle-aged,Female,New York,Yes,Debit Card,Annually
1118,Ashley Waller,22,Young Adult,Female,California,No,Credit Card,Annually
1119,Victor Baker,59,Senior,Male,New York,No,Debit Card,Monthly
1120,Jeffrey Chandler,56,Senior,Female,New York,Yes,Bank Transfer,Annually
1121,Larry Dixon,58,Senior,Male,Ohio,No,Debit Card,Quarterly
1122,Kenneth Scott,45,Middle-aged,Female,Texas,Yes,PayPal,Quarterly
1123,April Frost,24,Young Adult,Male,Florida,No,Venmo,Annually
1124,Michelle Harmon,26,Adult,Female,California,Yes,Bank Transfer,Bi-Weekly
1125,Helen Jones,25,Young Adult,Male,Texas,Yes,Credit Card,Monthly
1126,Erin Edwards,29,Adult,Male,New York,Yes,Debit Card,Quarterly
1127,Michelle Evans,51,Middle-aged,Female,Florida,Yes,Venmo,Monthly
1128,Jason Powell,50,Middle-aged,Female,North Carolina,No,Cash,Monthly
1129,Cameron Fisher,65,Senior,Female,Georgia,No,PayPal,Quarterly
1130,Megan Orr,40,Adult,Female,Pennsylvania,No,Debit Card,Bi-Weekly
1131,Elizabeth Kelley,41,Middle-aged,Male,New York,Yes,Debit Card,Bi-Weekly
1132,Dustin Jordan,54,Middle-aged,Male,Michigan,Yes,Debit Card,Quarterly
1133,Mary Marshall,52,Middle-aged,Male,Michigan,No,Venmo,Annually
1134,Daniel Kennedy,61,Senior,Female,Georgia,No,PayPal,Annually
1135,Rebecca Jackson,57,Senior,Male,Georgia,Yes,Bank Transfer,Monthly
1136,Jose Schultz,39,Adult,Male,New York,Yes,Bank Transfer,Annually
1137,Robert Potter,44,Middle-aged,Male,New York,Yes,PayPal,Monthly
1138,Courtney Gonzalez,52,Middle-aged,Male,North Carolina,No,Venmo,Annually
1139,David Alvarez,18,Young Adult,Male,North Carolina,No,Credit Card,Bi-Weekly
1140,Angel Perry,52,Middle-aged,Female,Ohio,Yes,Bank Transfer,Bi-Weekly
1141,Cheyenne Horton,54,Middle-aged,Female,New York,No,Bank Transfer,Bi-Weekly
1142,David Douglas Jr.,64,Senior,Female,New York,No,PayPal,Annually
1143,Patricia Rodriguez,31,Adult,Female,North Carolina,Yes,Venmo,Monthly
1144,Christopher Rubio,20,Young Adult,Male,Illinois,No,Venmo,Monthly
1145,Amber Wright,18,Young Adult,Female,North Carolina,No,Debit Card,Bi-Weekly
1146,Joyce Solis,22,Young Adult,Female,Illinois,Yes,Venmo,Bi-Weekly
1147,Victoria Larson,43,Middle-aged,Female,New York,Yes,Debit Card,Annually
1148,Stephanie Salazar,31,Adult,Male,North Carolina,No,Cash,Annually
1149,Kathy Rivas,56,Senior,Male,Ohio,Yes,Venmo,Monthly
1150,Stephanie Manning,44,Middle-aged,Male,Texas,Yes,PayPal,Weekly
1151,David Wright,26,Adult,Male,California,No,Debit Card,Monthly
1152,Pamela Boyd,32,Adult,Male,California,No,Cash,Annually
1153,Denise Jones,32,Adult,Male,North Carolina,Yes,Credit Card,Quarterly
1154,Devon Flores,43,Middle-aged,Female,Texas,Yes,Credit Card,Annually
1155,Brenda Hall,59,Senior,Female,Florida,Yes,Credit Card,Annually
1156,Michelle Brown,30,Adult,Female,Florida,Yes,Debit Card,Quarterly
1157,Joshua Perry,68,Senior,Female,Michigan,Yes,Venmo,Annually
1158,Jason Stein,49,Middle-aged,Female,North Carolina,No,Debit Card,Monthly
1159,Melissa Gates,56,Senior,Female,Illinois,Yes,Credit Card,Quarterly
1160,Jamie Smith,66,Senior,Female,Pennsylvania,Yes,Venmo,Weekly
1161,Paul Castaneda,69,Senior,Male,Illinois,Yes,Cash,Annually
1162,Jennifer Adkins,49,Middle-aged,Male,Ohio,No,Credit Card,Weekly
1163,Lindsey Walker,21,Young Adult,Female,California,Yes,PayPal,Weekly
1164,Jeffrey Johnson,47,Middle-aged,Female,Pennsylvania,No,Venmo,Quarterly
1165,Michael Powell,54,Middle-aged,Male,Ohio,No,Debit Card,Bi-Weekly
1166,John Anderson,40,Adult,Female,Georgia,Yes,Debit Card,Weekly
1167,Alyssa Long,56,Senior,Female,Michigan,Yes,PayPal,Weekly
1168,Alyssa Day,62,Senior,Female,Florida,No,Bank Transfer,Bi-Weekly
1169,Joel Williams,32,Adult,Male,Florida,Yes,Debit Card,Monthly
1170,Daniel Murphy,60,Senior,Male,Illinois,Yes,PayPal,Bi-Weekly
1171,Jamie Walton,46,Middle-aged,Female,California,No,Credit Card,Monthly
1172,Darlene Miller,53,Middle-aged,Male,New York,No,Credit Card,Monthly
1173,Joshua Cooke,30,Adult,Male,California,Yes,Debit Card,Bi-Weekly
1174,Matthew Harrington,49,Middle-aged,Male,Ohio,No,Venmo,Weekly
1175,Nicole Herring,24,Young Adult,Female,Ohio,No,Bank Transfer,Monthly
1176,Alex Hernandez,68,Senior,Male,Ohio,Yes,Debit Card,Bi-Weekly
1177,Michael Elliott,39,Adult,Male,North Carolina,Yes,Credit Card,Annually
1178,Michael Wang,45,Middle-aged,Female,Georgia,Yes,Venmo,Weekly
1179,Lawrence Adkins,19,Young Adult,Female,New York,No,PayPal,Monthly
1180,Robert Oconnell,59,Senior,Female,New York,No,Credit Card,Quarterly
1181,Alexander Collins,62,Senior,Male,Texas,No,PayPal,Weekly
1182,Tina Sanders,23,Young Adult,Male,California,No,Bank Transfer,Annually
1183,Angela Vaughn,45,Middle-aged,Female,Georgia,No,Bank Transfer,Annually
1184,Ashley Barton,45,Middle-aged,Female,Ohio,Yes,Cash,Bi-Weekly
1185,Lindsay Martinez,61,Senior,Male,Pennsylvania,No,Venmo,Annually
1186,Dr. Hannah Patterson,61,Senior,Male,Michigan,Yes,Credit Card,Quarterly
1187,Jonathan Peterson,37,Adult,Female,California,No,PayPal,Bi-Weekly
1188,Samantha Garcia,47,Middle-aged,Male,North Carolina,Yes,PayPal,Annually
1189,Madison Poole,28,Adult,Female,New York,Yes,PayPal,Monthly
1190,Jessica Gross,45,Middle-aged,Male,Florida,Yes,Debit Card,Weekly
1191,Debra Morton,42,Middle-aged,Female,Florida,Yes,Debit Card,Quarterly
1192,Karen Graham,56,Senior,Male,Michigan,Yes,Bank Transfer,Quarterly
1193,Debra Christian,50,Middle-aged,Female,Georgia,Yes,Cash,Quarterly
1194,Angelica Keith,18,Young Adult,Male,Illinois,No,Bank Transfer,Monthly
1195,John Bishop,44,Middle-aged,Female,New York,Yes,Cash,Annually
1196,Allen Rosales,69,Senior,Male,California,No,Bank Transfer,Weekly
1197,Daniel Salinas,30,Adult,Female,Illinois,Yes,PayPal,Weekly
1198,Spencer Haynes,58,Senior,Female,North Carolina,Yes,Debit Card,Monthly
1199,Adam Vaughan,20,Young Adult,Female,Michigan,No,Bank Transfer,Bi-Weekly
1200,Nathan Freeman,56,Senior,Female,New York,No,Venmo,Annually
1201,Melissa Brewer,23,Young Adult,Female,Texas,No,Bank Transfer,Quarterly
1202,Ricky Davis II,25,Young Adult,Male,Pennsylvania,No,Venmo,Bi-Weekly
1203,Elizabeth Perkins,44,Middle-aged,Female,New York,No,PayPal,Monthly
1204,Joseph Coleman,26,Adult,Male,Florida,Yes,Debit Card,Annually
1205,Erin Warner,54,Middle-aged,Female,Michigan,No,Bank Transfer,Annually
1206,David Martinez,50,Middle-aged,Male,Texas,Yes,Venmo,Annually
1207,Bryan Herrera,68,Senior,Female,Ohio,No,Debit Card,Bi-Weekly
1208,Cathy Robinson,59,Senior,Female,California,Yes,Cash,Bi-Weekly
1209,Dr. William Warren,61,Senior,Male,Illinois,No,PayPal,Monthly
1210,Brian Lee,41,Middle-aged,Female,Texas,No,Bank Transfer,Quarterly
1211,Christopher Smith,32,Adult,Male,Michigan,Yes,Bank Transfer,Bi-Weekly
1212,Denise Mccann,49,Middle-aged,Male,Florida,No,PayPal,Weekly
1213,Melissa Martinez,49,Middle-aged,Female,Michigan,No,Debit Card,Bi-Weekly
1214,Katherine Salas,41,Middle-aged,Female,Ohio,Yes,Debit Card,Bi-Weekly
1215,Julie Alexander,58,Senior,Male,North Carolina,No,Bank Transfer,Annually
1216,Anthony Everett,69,Senior,Female,Pennsylvania,No,Credit Card,Weekly
1217,Rodney Morales,66,Senior,Female,Ohio,No,Bank Transfer,Quarterly
1218,Mark Brown,66,Senior,Female,Texas,No,Venmo,Weekly
1219,Justin Torres,69,Senior,Male,California,Yes,Cash,Quarterly
1220,Bailey Duran DDS,29,Adult,Female,North Carolina,Yes,Venmo,Monthly
1221,Courtney Mills,56,Senior,Male,Pennsylvania,No,Credit Card,Annually
1222,Jeremy Dalton,19,Young Adult,Male,New York,No,Debit Card,Monthly
1223,Elizabeth Oliver DDS,20,Young Adult,Male,California,No,Venmo,Bi-Weekly
1224,Theresa Clark,66,Senior,Male,Ohio,No,PayPal,Bi-Weekly
1225,Matthew Moore,54,Middle-aged,Female,Florida,Yes,Venmo,Annually
1226,Benjamin Smith,66,Senior,Female,California,No,Debit Card,Monthly
1227,Kirk Carter,34,Adult,Male,Pennsylvania,Yes,Bank Transfer,Weekly
1228,Michael Warner,66,Senior,Male,Michigan,No,Venmo,Monthly
1229,Michael Bradshaw,19,Young Adult,Male,Michigan,Yes,Credit Card,Quarterly
1230,Lori Guerrero,19,Young Adult,Male,Michigan,No,Cash,Bi-Weekly
1231,Jessica Stephens,45,Middle-aged,Female,Ohio,Yes,Debit Card,Weekly
1232,Susan Serrano,40,Adult,Male,Pennsylvania,Yes,PayPal,Bi-Weekly
1233,Christopher Parker,54,Middle-aged,Male,New York,No,Bank Transfer,Monthly
1234,Laura Roberts,49,Middle-aged,Male,Illinois,No,Credit Card,Annually
1235,Michael Lyons,50,Middle-aged,Male,Georgia,Yes,Debit Card,Weekly
1236,Kathryn Snyder,18,Young Adult,Male,Georgia,Yes,PayPal,Annually
1237,Andrew Reynolds,36,Adult,Female,Florida,No,PayPal,Monthly
1238,David Davis,19,Young Adult,Female,Pennsylvania,Yes,Debit Card,Quarterly
1239,Sara Johnston,61,Senior,Female,North Carolina,No,Bank Transfer,Annually
1240,Yvonne Chambers,43,Middle-aged,Female,Ohio,No,Credit Card,Annually
1241,Andrew Avila,49,Middle-aged,Female,Ohio,No,Bank Transfer,Monthly
1242,Matthew Moon,23,Young Adult,Male,Texas,No,Bank Transfer,Weekly
1243,Kevin Walters,49,Middle-aged,Female,Michigan,No,Bank Transfer,Monthly
1244,Brandon Bailey MD,21,Young Adult,Male,Ohio,No,Bank Transfer,Annually
1245,Shannon Rivera,28,Adult,Female,California,Yes,PayPal,Bi-Weekly
1246,Donna Landry,34,Adult,Female,Michigan,No,Cash,Bi-Weekly
1247,Krista Gibson,55,Middle-aged,Female,Illinois,Yes,Credit Card,Annually
1248,Frank Cordova,41,Middle-aged,Female,Florida,Yes,PayPal,Weekly
1249,Jose Travis,22,Young Adult,Male,California,No,Debit Card,Annually
1250,Kimberly Gutierrez,69,Senior,Female,California,Yes,Debit Card,Bi-Weekly
1251,Isaiah Avila,51,Middle-aged,Male,Illinois,Yes,Bank Transfer,Quarterly
1252,Olivia Harris,23,Young Adult,Female,Texas,No,Credit Card,Annually
1253,Tanya Kim,39,Adult,Female,Ohio,Yes,PayPal,Annually
1254,Barbara Dudley,28,Adult,Female,Texas,Yes,PayPal,Quarterly
1255,Cynthia Moore,65,Senior,Male,Ohio,No,Credit Card,Weekly
1256,Kristen Davis,33,Adult,Male,Pennsylvania,No,Bank Transfer,Monthly
1257,Susan Murray MD,50,Middle-aged,Female,Pennsylvania,Yes,Credit Card,Bi-Weekly
1258,Kathleen Moran,26,Adult,Female,California,Yes,Credit Card,Bi-Weekly
1259,Denise Davenport,23,Young Adult,Male,California,Yes,Cash,Monthly
1260,Mrs. Kristen Reyes,33,Adult,Male,New York,No,Cash,Monthly
1261,Katie Suarez,46,Middle-aged,Female,Illinois,No,Bank Transfer,Monthly
1262,Desiree Tyler,20,Young Adult,Female,Georgia,No,Cash,Monthly
1263,Timothy Romero,37,Adult,Male,Pennsylvania,Yes,Debit Card,Bi-Weekly
1264,Diane Evans,53,Middle-aged,Female,Illinois,Yes,Cash,Annually
1265,Yvonne Burns,36,Adult,Male,California,No,Cash,Annually
1266,Joshua Reed,43,Middle-aged,Female,Texas,No,Cash,Quarterly
1267,Kimberly Gibson,20,Young Adult,Female,California,No,PayPal,Annually
1268,Colin Terry,36,Adult,Male,Texas,No,Venmo,Weekly
1269,Cynthia Rowe,37,Adult,Male,Ohio,No,Cash,Weekly
1270,Patrick Thornton,49,Middle-aged,Female,Georgia,Yes,Credit Card,Monthly
1271,Jasmin Alvarado,24,Young Adult,Male,North Carolina,No,Cash,Quarterly
1272,Veronica Simpson,69,Senior,Female,North Carolina,Yes,Venmo,Bi-Weekly
1273,Jonathan Lawrence,58,Senior,Male,North Carolina,No,Bank Transfer,Annually
1274,Shelly Alexander,50,Middle-aged,Male,Ohio,No,Bank Transfer,Annually
1275,Joyce Bowen,57,Senior,Male,California,Yes,Debit Card,Bi-Weekly
1276,Matthew Moore,56,Senior,Male,New York,Yes,Debit Card,Weekly
1277,Wayne Morgan,35,Adult,Female,California,Yes,Cash,Monthly
1278,Marie Christian,57,Senior,Female,Pennsylvania,No,Credit Card,Quarterly
1279,Shannon James,18,Young Adult,Male,North Carolina,Yes,Credit Card,Weekly
1280,Nathan Malone,28,Adult,Female,California,No,PayPal,Quarterly
1281,Amanda Jones,45,Middle-aged,Female,Michigan,No,Credit Card,Monthly
1282,Tammie Bright,42,Middle-aged,Female,Michigan,Yes,PayPal,Annually
1283,Jessica Garcia,67,Senior,Female,Pennsylvania,No,PayPal,Monthly
1284,Shelia Wallace,40,Adult,Female,Ohio,Yes,Credit Card,Weekly
1285,Stephanie Williams,48,Middle-aged,Female,New York,No,Credit Card,Annually
1286,Elaine Brooks,47,Middle-aged,Male,Illinois,No,PayPal,Monthly
1287,Joseph Knight,59,Senior,Female,Ohio,No,Debit Card,Annually
1288,Carolyn Miller,52,Middle-aged,Male,Ohio,Yes,Cash,Annually
1289,Lisa Allen,24,Young Adult,Female,California,No,Debit Card,Quarterly
1290,Briana Murray,33,Adult,Male,North Carolina,Yes,Bank Transfer,Quarterly
1291,David Smith,43,Middle-aged,Female,Florida,Yes,Credit Card,Weekly
1292,Stephanie Byrd,65,Senior,Female,Michigan,No,Venmo,Monthly
1293,Jeremy Reed,69,Senior,Female,North Carolina,No,Credit Card,Bi-Weekly
1294,Margaret Coleman,66,Senior,Male,Texas,Yes,PayPal,Monthly
1295,Ryan Gonzalez,19,Young Adult,Female,Ohio,No,Venmo,Annually
1296,John Young,18,Young Adult,Male,Texas,No,Venmo,Weekly
1297,Laura Haney,65,Senior,Male,Texas,No,Cash,Weekly
1298,William Barrett,29,Adult,Female,Illinois,Yes,Bank Transfer,Bi-Weekly
1299,Keith Jennings,22,Young Adult,Female,Illinois,Yes,Credit Card,Annually
1300,Amber Obrien,54,Middle-aged,Female,Illinois,No,Cash,Annually
1301,Tanner Mitchell DDS,49,Middle-aged,Male,Georgia,No,Bank Transfer,Weekly
1302,Heather Fields,26,Adult,Male,Texas,Yes,Debit Card,Weekly
1303,Megan Le,58,Senior,Female,California,No,Venmo,Bi-Weekly
1304,Sara Fuller,52,Middle-aged,Female,Texas,No,Cash,Bi-Weekly
1305,Maria Parker,36,Adult,Female,Ohio,Yes,Debit Card,Quarterly
1306,Kevin Oconnor,65,Senior,Male,Illinois,Yes,Credit Card,Weekly
1307,Edward Burgess,33,Adult,Male,Ohio,Yes,Credit Card,Bi-Weekly
1308,Carlos Ryan,20,Young Adult,Female,Illinois,No,PayPal,Annually
1309,Kiara Mcintyre,37,Adult,Female,Georgia,No,Debit Card,Quarterly
1310,Dawn Summers,41,Middle-aged,Male,California,No,Debit Card,Weekly
1311,Dr. Paul Morgan,50,Middle-aged,Female,Pennsylvania,No,Cash,Bi-Weekly
1312,Victor Taylor,41,Middle-aged,Female,Illinois,Yes,Bank Transfer,Weekly
1313,Shannon Ramsey,69,Senior,Male,Florida,Yes,Venmo,Quarterly
1314,Tracy Ballard,28,Adult,Male,Georgia,Yes,Bank Transfer,Monthly
1315,Richard Smith,66,Senior,Female,Michigan,No,Bank Transfer,Weekly
1316,Jordan Chambers,25,Young Adult,Female,Michigan,No,Venmo,Weekly
1317,Lauren Carson,53,Middle-aged,Male,Florida,No,PayPal,Weekly
1318,Ashley Hall,55,Middle-aged,Male,Georgia,No,Bank Transfer,Weekly
1319,Stephen Hoffman,57,Senior,Male,California,Yes,PayPal,Bi-Weekly
1320,Connie Brown,37,Adult,Male,Texas,No,PayPal,Monthly
1321,Susan Turner,52,Middle-aged,Male,Illinois,No,Debit Card,Annually
1322,Charles Shah,65,Senior,Female,New York,No,Credit Card,Weekly
1323,Johnathan Davis,42,Middle-aged,Male,Ohio,No,Credit Card,Annually
1324,Brandy Chavez,52,Middle-aged,Male,Pennsylvania,No,Cash,Bi-Weekly
1325,Natalie Bautista,42,Middle-aged,Female,Michigan,Yes,Venmo,Monthly
1326,Patrick Moore,46,Middle-aged,Male,Ohio,No,Venmo,Quarterly
1327,Brett Burns,35,Adult,Female,Pennsylvania,Yes,Cash,Quarterly
1328,Trevor Johnson,63,Senior,Male,Georgia,No,Debit Card,Quarterly
1329,Jeremy Sampson,35,Adult,Male,Pennsylvania,No,Credit Card,Quarterly
1330,Ariana Jennings,19,Young Adult,Male,Ohio,No,PayPal,Quarterly
1331,Vanessa Howard,52,Middle-aged,Male,Michigan,No,Credit Card,Monthly
1332,Colton Martinez,33,Adult,Female,Texas,Yes,Cash,Weekly
1333,Jordan Bates,58,Senior,Male,Illinois,No,Credit Card,Quarterly
1334,Linda Smith,53,Middle-aged,Female,Pennsylvania,Yes,PayPal,Weekly
1335,Dana Martinez,50,Middle-aged,Female,Michigan,No,Bank Transfer,Annually
1336,Andrea Hubbard,21,Young Adult,Male,Florida,No,Bank Transfer,Weekly
1337,Daniel Kane,50,Middle-aged,Female,Georgia,Yes,Venmo,Annually
1338,Charles Lester,31,Adult,Female,Pennsylvania,No,Cash,Weekly
1339,Scott Thomas,38,Adult,Female,Texas,Yes,Debit Card,Annually
1340,David Thompson,65,Senior,Male,Ohio,Yes,Credit Card,Weekly
1341,Allison Smith,37,Adult,Male,Pennsylvania,No,Credit Card,Weekly
